SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;1.0;inf
117122;GreyMatter;0.7024692514428584;5.0
117122;Hippocampus;1.0;inf
117122;Thalamus;1.0;inf
117122;WhiteMatter;0.78947913395517;3.0
117122-PP;Amygdala;1.0;inf
117122-PP;GreyMatter;0.7024692514428584;5.0
117122-PP;Hippocampus;1.0;inf
117122-PP;Thalamus;1.0;inf
117122-PP;WhiteMatter;0.78947913395517;3.0
118528;Amygdala;1.0;inf
118528;GreyMatter;0.6991246026628204;6.324555320336759
118528;Hippocampus;1.0;inf
118528;Thalamus;1.0;inf
118528;WhiteMatter;0.7989266417666896;2.449489742783178
118528-PP;Amygdala;1.0;inf
118528-PP;GreyMatter;0.6991246026628204;6.324555320336759
118528-PP;Hippocampus;1.0;inf
118528-PP;Thalamus;1.0;inf
118528-PP;WhiteMatter;0.7989266417666896;2.449489742783178
118730;Amygdala;1.0;inf
118730;GreyMatter;0.7108471457727751;4.242640687119285
118730;Hippocampus;1.0;inf
118730;Thalamus;1.0;inf
118730;WhiteMatter;0.7821181508729549;2.8284271247461903
118730-PP;Amygdala;1.0;inf
118730-PP;GreyMatter;0.7108471457727751;4.242640687119285
118730-PP;Hippocampus;1.0;inf
118730-PP;Thalamus;1.0;inf
118730-PP;WhiteMatter;0.7821181508729549;2.8284271247461903
118932;Amygdala;1.0;inf
118932;GreyMatter;0.714313022825263;5.830951894845301
118932;Hippocampus;1.0;inf
118932;Thalamus;1.0;inf
118932;WhiteMatter;0.8056120207275146;3.0
118932-PP;Amygdala;1.0;inf
118932-PP;GreyMatter;0.714313022825263;5.830951894845301
118932-PP;Hippocampus;1.0;inf
118932-PP;Thalamus;1.0;inf
118932-PP;WhiteMatter;0.8056120207275146;3.0
120111;Amygdala;1.0;inf
120111;GreyMatter;0.6968624224308314;5.385164807134504
120111;Hippocampus;1.0;inf
120111;Thalamus;1.0;inf
120111;WhiteMatter;0.8239701459159384;2.23606797749979
120111-PP;Amygdala;1.0;inf
120111-PP;GreyMatter;0.6968624224308314;5.385164807134504
120111-PP;Hippocampus;1.0;inf
120111-PP;Thalamus;1.0;inf
120111-PP;WhiteMatter;0.8239701459159384;2.23606797749979
122317;Amygdala;1.0;inf
122317;GreyMatter;0.7157524351694249;4.47213595499958
122317;Hippocampus;1.0;inf
122317;Thalamus;1.0;inf
122317;WhiteMatter;0.8067425020027521;3.0
122317-PP;Amygdala;1.0;inf
122317-PP;GreyMatter;0.7157524351694249;4.47213595499958
122317-PP;Hippocampus;1.0;inf
122317-PP;Thalamus;1.0;inf
122317-PP;WhiteMatter;0.8067425020027521;3.0
122620;Amygdala;1.0;inf
122620;GreyMatter;0.717198034186477;6.0
122620;Hippocampus;1.0;inf
122620;Thalamus;1.0;inf
122620;WhiteMatter;0.7773000440173864;3.0
122620-PP;Amygdala;1.0;inf
122620-PP;GreyMatter;0.717198034186477;6.0
122620-PP;Hippocampus;1.0;inf
122620-PP;Thalamus;1.0;inf
122620-PP;WhiteMatter;0.7773000440173864;3.0
123117;Amygdala;1.0;inf
123117;GreyMatter;0.6994461300145711;6.708203932499369
123117;Hippocampus;1.0;inf
123117;Thalamus;1.0;inf
123117;WhiteMatter;0.8182720838195118;3.1622776601683795
123117-PP;Amygdala;1.0;inf
123117-PP;GreyMatter;0.6994461300145711;6.708203932499369
123117-PP;Hippocampus;1.0;inf
123117-PP;Thalamus;1.0;inf
123117-PP;WhiteMatter;0.8182720838195118;3.1622776601683795
123925;Amygdala;1.0;inf
123925;GreyMatter;0.6948287676116326;5.0990195135927845
123925;Hippocampus;1.0;inf
123925;Thalamus;1.0;inf
123925;WhiteMatter;0.7998706223658285;3.0
123925-PP;Amygdala;1.0;inf
123925-PP;GreyMatter;0.6948287676116326;5.0990195135927845
123925-PP;Hippocampus;1.0;inf
123925-PP;Thalamus;1.0;inf
123925-PP;WhiteMatter;0.7998706223658285;3.0
124422;Amygdala;1.0;inf
124422;GreyMatter;0.6929340527961516;4.47213595499958
124422;Hippocampus;1.0;inf
124422;Thalamus;1.0;inf
124422;WhiteMatter;0.7501315762883274;3.1622776601683795
124422-PP;Amygdala;1.0;inf
124422-PP;GreyMatter;0.6929340527961516;4.47213595499958
124422-PP;Hippocampus;1.0;inf
124422-PP;Thalamus;1.0;inf
124422-PP;WhiteMatter;0.7501315762883274;3.1622776601683795
